name,country_codes,countries
HILDON ENTERPRISES INC.,EST,Estonia
CORRINGHAM INTERNATIONAL INC.,LTU,Lithuania
GLASSNER INTERNATIONAL INC.,LTU,Lithuania
ADELTON INVESTMENTS S.A.,LVA,Latvia
LINDERSTON LTD.,EST,Estonia
Cordex Line Ltd.,EST,Estonia
ECOTRANS CORPORATION,EST,Estonia
Baltic Reefers Management Ltd.,EST,Estonia
VFR Ltd,EST,Estonia
LOMBARDO SALES & SERVICES INC.,EST,Estonia
LVS Trade GbmH & Co KG Inc.,EST,Estonia
LIGREN CORPORATION,EST,Estonia
Salem Ehitus Group Ltd.,EST,Estonia
Zeeland Development Corp.,EST,Estonia
PIROS INTERNATIONAL LTD.,EST,Estonia
KELTER SOLUTIONS LIMITED,EST,Estonia
ELFIL CORPORATION LTD.,EST,Estonia
HELICON INTERNATIONAL S.A.,EST,Estonia
Selena Global Technology Ltd.,EST,Estonia
Orcaella Ltd.,EST,Estonia
AGF FINANCIAL INC.,EST,Estonia
EDWIN INTERNATIONAL LTD.,EST,Estonia
KENTON LANE WORLDWIDE LIMITED,LTU,Lithuania
QUINTRELL GROUP LIMITED,EST,Estonia
BALMIN INVESTMENT INC.,EST,Estonia
Silk Road Services Group Ltd,EST,Estonia
Oxyfa Trading Ltd,EST,Estonia
AQUILON TRADING LTD.,EST,Estonia
NEW AGE DEVELOPMENT S.A.,EST,Estonia
BARGAIN TRADING LTD.,EST,Estonia
BIXEM TRADE S.A.,EST,Estonia
NEBRIUS LTD.,EST,Estonia
TRIAKIS S.A.,EST,Estonia
Volia Group S.A.,EST,Estonia
Attaphila Ltd,EST,Estonia
RHINCO LTD.,EST,Estonia
PETROOIL INTERNATIONAL LTD.,EST,Estonia
ROQUEL INDUSTRIAL SERVICES LTD.,EST,Estonia
HAYWORTH SERVICES LIMITED,EST,Estonia
NASHALO LIMITED,LVA,Latvia
VICKS AGENCY S.A.,EST,Estonia
MAHOGONY HILL INTERNATIONAL LTD.,EST,Estonia
Aressa Shipping Ltd.,EST,Estonia
TALCORE COMMERCE INC.,EST,Estonia
EAST CLIFF GROUP S.A.,EST,Estonia
ATLAS METCO LIMITED,LVA,Latvia
CANBER ENTERPRISES INCORPORATED,LVA,Latvia
HSR TECHPRODUKTE LIMITED,LVA,Latvia
GULF INTERNATIONAL INC.,LVA,Latvia
"LIPTON FINANCIAL, LTD.",LVA,Latvia
Daweston Investments Ltd,EST,Estonia
VARICONDO LTD.,EST,Estonia
SCARSON INVESTMENTS LTD.,EST,Estonia
UZGOST INTERNATIONAL COMPANY LTD.,LVA,Latvia
LUXWARD MANAGEMENT S.A.,EST,Estonia
HAMLEX INTERNATIONAL S.A.,EST,Estonia
TRIZA EXPRESS INCORPORATED,EST,Estonia
"SUNFOX, INC.",LVA,Latvia
ROSEBIRD INTERNATIONAL LTD.,EST,Estonia
XARA OVERSEAS LTD.,EST,Estonia
ATERNA LTD.,EST,Estonia
MONROKO LIMITED,LVA,Latvia
COALSERVICE LTD.,EST,Estonia
Second Front Ltd.,EST,Estonia
LANWELL & LEEDS LIMITED,LVA,Latvia
FINCORP INTERNATIONAL MARKETING S.A.,EST,Estonia
MODULAR SERVICES LTD.,EST,Estonia
MAXWELL S INVESTMENTS INC.,EST,Estonia
TRANSGROUP LTD.,EST,Estonia
UNIBALT INVESTMENTS INC.,EST,Estonia
LOWTECH GROUP LTD.,LVA,Latvia
FELTBORN LTD.,EST,Estonia
RUSSIAN BLUEBIRD INC.,LVA,Latvia
VERDEN LTD.,EST,Estonia
HIGHLANDER EQUITY LIMITED,EST,Estonia
Stargazer Finances Corp.,EST,Estonia
QUENTIN ASSOCIATES INC.,LVA,Latvia
WINDFALL GROUP LIMITED,LVA,Latvia
DALESIDE PROPERTIES INC.,EST,Estonia
DEMOTEC S.A.,EST,Estonia
KAISERMANN LTD.,EST,Estonia
BERMISTER LTD.,EST,Estonia
ROYBROWN LIMITED,EST,Estonia
GEOLINK INVESTMENTS LTD.,EST,Estonia
ICE SHIPMANAGEMENT LTD.,EST,Estonia
Hanchett Limited,EST,Estonia
LANWAY DEVELOPMENTS LTD.,EST,Estonia
GUDSON INC.,EST,Estonia
EVEREST PACIFIC LIMITED,EST,Estonia
TRAYWILL INVESTMENTS LTD.,LVA,Latvia
UNIVEK INTERNATIONAL CORP.,LTU,Lithuania
WESTQUALITY INC.,EST,Estonia
EMPIRE BAY SERVICES LTD.,LVA,Latvia
RELIC SERVICES LTD.,EST,Estonia
VEZULIN CONSULTATION INC.,EST,Estonia
RENATO FIEND GROUP CORP.,LVA,Latvia
LOCAN PROPERTIES LTD.,EST,Estonia
HEILEY CONSULTANTS LTD.,LVA,Latvia
VEGA PLUS INC.,EST,Estonia
SMART-M INVESTMENTS INC.,EST,Estonia
DORINT SA,EST,Estonia
INBELLY CORP.,LTU,Lithuania
MELERNA LTD.,EST,Estonia
WHITEBAY PORTFOLIO LIMITED,EST,Estonia
LOUVALE INVESTMENTS LTD.,LVA,Latvia
Alton Invest Ltd.,EST,Estonia
WALKER CONSULTING LIMITED,LVA,Latvia
SACURA INVESTMENT HOLDING LTD,EST,Estonia
Stacroloft Inc.,EST,Estonia
UKKY TRADING LIMITED,LVA,Latvia
VIA TRANS GROUP INC.,LVA,Latvia
LUXURY INVEST LTD.,EST,Estonia
Legenall Ltd.,EST,Estonia
OCTAVO INVESTMENTS LIMITED,LVA,Latvia
WEIR ENTERPRISES LIMITED,LVA,Latvia
RC MANAGEMENT LTD.,LVA,Latvia
NYX MANAGEMENT LTD.,LVA,Latvia
TELLON GROUP SERVICES LIMITED,LVA,Latvia
MTF Rivertours Ltd.,LVA,Latvia
TERREX LIMITED,LVA,Latvia
DARVIN LTD.,EST,Estonia
BENBOW PROPERTIES LTD.,EST,Estonia
CONTO LIMITED,LVA,Latvia
Clear Front Inc.,EST,Estonia
FOFGUE LTD.,EST,Estonia
MIALAIC INVESTMENTS LTD.,EST,Estonia
KRONOS EQUITIES LIMITED,EST,Estonia
SAVOR INVESTMENT LTD.,EST,Estonia
STARVILLE SERVICES LIMITED,LVA,Latvia
JACOB PORTFOLIO LIMITED,EST,Estonia
CHARTLEY INVEST S.A.,EST,Estonia
HURSTBAY MANAGEMENT LTD.,LVA,Latvia
FINDLAY EQUITIES INC.,EST,Estonia
YSC INVESTMENT LIMITED,EST,Estonia
TRANSSERVICE INTERNATIONAL LIMITED,LVA,Latvia
MCR Private Wealth Management Inc.,LVA,Latvia
EUROPLAN INTERNATIONAL LTD.,LVA,Latvia
EGO ENTERTAINMENT LTD.,EST,Estonia
MORVIO INVESTMENTS INC.,LTU,Lithuania
LANTANA INTERNATIONAL TRADING INC.,EST,Estonia
ZANALINK FINANCIAL LTD.,LVA,Latvia
"BRADMONT HOLDINGS, INC.",LVA,Latvia
BALTIC FUTURE HOLDING LTD.,EST,Estonia
LINTON EQUITIES LTD.,EST,Estonia
FARAYON GLOBAL LTD.,EST,Estonia
PETROLINE INTERNATIONAL INC.,LVA,Latvia
CAPE VILLE INTERNATIONAL LTD.,LVA,Latvia
RANCHER SERVICES LIMITED,LVA,Latvia
LOVE MAGE INTERNATIONAL LTD.,EST,Estonia
FASTLINE SHIPPING LTD.,EST,Estonia
ORION INTERNATIONAL SERVICES LTD.,LVA,Latvia
WENTON ENTERPRISES LIMITED,EST,Estonia
BITSY MANAGEMENT LTD.,EST,Estonia
IRONY EQUITIES LTD.,EST,Estonia
KELLY BAY PACIFIC LIMITED,LVA,Latvia
RODVIC LTD.,EST,Estonia
MADISON EQUITIES CORP.,LVA,Latvia
ANNLEY INVESTMENT LIMITED,LVA,Latvia
FALCONFIELD LIMITED,LVA,Latvia
SOBNAT OVERSEAS LTD.,EST,Estonia
ORKIN MANAGEMENT CORP.,EST,Estonia
EVERGLOW ASSOCIATES LTD.,EST,Estonia
DALEMAN MANAGEMENT LTD.,LVA,Latvia
LATERPORT GROUP LIMITED,EST,Estonia
VANTEX ASSETS LIMITED,EST,Estonia
DEVALUS INC.,EST,Estonia
SEA SEVEN LTD.,LVA,Latvia
BELENGA GROUP S.A.,EST,Estonia
ELISTON TRADING INC.,EST,Estonia
MATRIX SERVICES GROUP LTD.,EST,Estonia
BROWNVILLE INTERNATIONAL LTD.,EST,Estonia
PIL CASPIAN LINES LTD.,EST,Estonia
GARDEN CHEER GROUP LTD.,EST,Estonia
SPLENDID ASSOCIATES LTD.,EST,Estonia
MAPILAB LTD.,LVA,Latvia
INTERNATIONAL CORPORATE GROUP LTD.,LVA,Latvia
HAMPTON VILLE INVESTMENTS LIMITED,LVA,Latvia
MERONT HOLDINGS LTD.,LVA,Latvia
DANERTON LIMITED,EST,Estonia
LEONARDO TRAVEL LTD.,EST,Estonia
GOLDEN SUGAR LTD.,LVA,Latvia
ATLAS PROPERTY HOLDINGS LIMITED,LVA,Latvia
NCL OIL TRADING LTD.,EST,Estonia
TROBART INVESTMENTS LTD.,EST,Estonia
EuroBusiness Inc.,LVA,Latvia
LANDFIELD FINANCIAL LTD.,LVA,Latvia
CROSS MANAGEMENT LTD.,LVA,Latvia
PRIME IMPEX LTD.,LVA,Latvia
VENTON ASSET LTD.,EST,Estonia
EUROMED M.C. LIMITED,LVA,Latvia
CONNET SYSTEMS LTD.,EST,Estonia
MABUS GROUP INC.,EST,Estonia
ODDMENT INTERNATIONAL S.A.,LVA,Latvia
SUNSPOT TECHNOLOGY LIMITED,LVA,Latvia
MACLANE INC.,LVA,Latvia
"LAKECLIFF HOLDINGS, INC.",LVA,Latvia
BONFIELD INVESTMENT GROUP LTD.,LVA,Latvia
JERHILL HOLDINGS LTD.,EST,Estonia
BALKAR TECHNOLOGY LTD.,EST,Estonia
SHARDARI LIMITED,EST,Estonia
DENLEKS LIMITED,LVA,Latvia
SEKURA INVESTMENTS LTD.,LVA,Latvia
BRAMERTON ALLIANCE LTD.,EST,Estonia
ELDOS CORPORATION,LVA,Latvia
WENDOLIN HOLDINGS S.A.,EST,Estonia
AGRO COST LTD.,LVA,Latvia
LUCKAS TRADING LIMITED,LVA,Latvia
KONSULTINVEST LTD.,LVA,Latvia
LEMIX MARINE SERVICE LIMITED,LVA,Latvia
MEDIA GROUP SERVICES LTD.,EST,Estonia
BEATRIX MANAGEMENT LIMITED,LVA,Latvia
VALMERON INC.,EST,Estonia
IMCA LTD.,EST,Estonia
SEACONT LTD,EST,Estonia
DENIX GROUP LTD.,LVA,Latvia
CENTURY SMART ASSETS LTD.,EST,Estonia
GOODGOAL MANAGEMENT LTD.,EST,Estonia
JETTA MANAGEMENT LIMITED,EST,Estonia
OAK DEVELOPMENTS COMPANY LIMITED,LVA,Latvia
ADVANCED FINANCE SERVICES INTERNATIONAL LTD.,EST,Estonia
CASTLEGLEN LTD.,LVA,Latvia
GREENDALE CORPORATE LIMITED,EST,Estonia
ALINGTON SERVICES LTD.,LVA,Latvia
GAZEERA HOLDINGS INC.,EST,Estonia
LIMFORT TRADE INC.,EST,Estonia
SANGALIM ASSETS LTD.,EST,Estonia
TUKANA LIMITED,LVA,Latvia
EUROPEX PORTFOLIO LIMITED,EST,Estonia
ORTONA TRADE LTD.,LVA,Latvia
KLAVERTA TRADE LTD.,LVA,Latvia
BRIDGETOP MANAGEMENT LTD.,LVA,Latvia
Tek Labs Group Ltd.,EST,Estonia
WESTEMER ENTERPRISES LIMITED,LVA,Latvia
BIRBECK GROUP LTD.,LVA,Latvia
WEST EUROPE TOURS LTD.,LVA,Latvia
ETZEL MANAGEMENT LIMITED,EST,Estonia
LANEROX LIMITED,LVA,Latvia
WOLTRA PLUS LTD.,LVA,Latvia
ALSTAIR SERVICES LIMITED,EST,Estonia
NORTHERN OIL MANAGEMENT LTD.,LVA,Latvia
FEARN LIMITED,EST,Estonia
PROMOTION SERVICES ASSETS LTD.,EST,Estonia
MONWOOD LIMITED,LVA,Latvia
DANGLETON LIMITED,LVA,Latvia
BINGHAM MARKETING CORP.,EST,Estonia
ROVER BAY LTD.,EST,Estonia
AGS SHIPPING LTD.,EST,Estonia
EUROPA EXCLUSIVE LTD.,LVA,Latvia
GOTRY INVEST LTD.,LVA,Latvia
LAVASCO HOLDING S.A.,EST,Estonia
RIVATON LIMITED,LVA,Latvia
"FINPOINT INVESTMENT ADVISERS, INC.",LVA,Latvia
YURIVILLE GROUP LTD.,EST,Estonia
RONNIEVILLE LIMITED,EST,Estonia
ROLLYRAE ASSETS LTD.,EST,Estonia
SHEDWELK COMMERCIAL LIMITED,LVA,Latvia
FINMAN EQUITIES LTD.,EST,Estonia
COLLEDO LIMITED,LVA,Latvia
LAUTON INVESTMENTS LTD.,LVA,Latvia
VARNETTO HOLDINGS LTD.,LVA,Latvia
NORTHGATE PROJECTS LTD.,LVA,Latvia
LINPERA LIMITED,LVA,Latvia
RONA SHIPPING LTD,EST,Estonia
MicroOLAP Technologies Ltd.,LVA,Latvia
ROTA SHIPPING LTD,EST,Estonia
HODGE BAY INVESTMENTS LIMITED,EST,Estonia
AMDOCS DEVELOPMENT LTD,LVA,Latvia
MINERAL RESOURCES GROUP LTD,EST,Estonia
NCL SHIPPING LTD.,EST,Estonia
OBADIA LIMITED,EST,Estonia
NORD CAPE LTD.,EST,Estonia
LARZAKA LIMITED,EST,Estonia
LERTOX DEVELOPMENTS LTD.,LVA,Latvia
WILLMART HOLDING GROUP LTD.,LVA,Latvia
MELTHON GROUP LTD.,LVA,Latvia
SILK ENTERPRISES LTD.,LVA,Latvia
ROSEPORT ENTERPRISES LIMITED,EST,Estonia
PENWOOD INTERNATIONAL BUSINESS S.A.,EST,Estonia
Verna Assets S.A.,EST,Estonia
DS TRAVEL LTD.,LVA,Latvia
WIKSO TRADE INC.,EST,Estonia
TRANSIT LOGISTICS LTD.,LVA,Latvia
CARDEX HOLDINGS LTD.,LVA,Latvia
GELEON TRADE LTD.,LVA,Latvia
FELEON COMMERCIAL LTD.,LVA,Latvia
CURTON PROJECTS LTD.,LVA,Latvia
CLARTON PROJECTS LTD.,LVA,Latvia
KESSOR PLUS LTD.,LVA,Latvia
TILAM MANAGEMENT LTD.,LVA,Latvia
AXXEL DEVELOPMENT LTD.,EST,Estonia
SALTERELLY ESTATES LIMITED,EST,Estonia
SNARBROOK LIMITED,LVA,Latvia
HUSTLINGTON LTD.,LVA,Latvia
FREYA DEVELOPMENTS LIMITED,EST,Estonia
NORDIC BAY LTD.,EST,Estonia
MT Shipping Ltd.,EST,Estonia
JAVON ASSETS LTD.,EST,Estonia
ENERGY PLUS CONSULTANTS LIMITED,EST,Estonia
DARTON TRADE LTD.,LVA,Latvia
LETCOVE HOLDINGS LTD.,LVA,Latvia
KAZIER MANAGEMENT LIMITED,EST,Estonia
ASTOLA INVESTMENTS INC.,LVA,Latvia
FORGUE OVERSEAS LTD.,EST,Estonia
IMCA DEVELOPMENT S.A.,EST,Estonia
TRINTON INDUSTRIES LTD.,LVA,Latvia
IMPORTEX GROUP LTD.,LVA,Latvia
ALCER GROUP LIMITED,LVA,Latvia
VIK-PROFIT INTERNATIONAL LTD.,LVA,Latvia
MIROKLE LTD.,EST,Estonia
WINSFORD TRADING GROUP LIMITED,LVA,Latvia
BR TERMINALS LTD.,EST,Estonia
ASTRION INVEST S.A.,EST,Estonia
WHARTON ALLIANCE LTD.,EST,Estonia
VNI GROUP LIMITED,LVA,Latvia
KIMLAN ASSETS MANAGEMENT LTD.,EST,Estonia
LUXWARD INVEST LTD.,EST,Estonia
HANWELL GROUP LTD.,LVA,Latvia
FLEET SERVICE GROUP LTD.,LVA,Latvia
Executive Management Group Ltd.,EST,Estonia
LBTC HANDELS-ANSTALT LTD.,LVA,Latvia
MIKORA MANAGEMENT LTD.,LVA,Latvia
LACONBAY LTD.,EST,Estonia
ESNARD GROUP LTD.,LVA,Latvia
VIWESOFT LTD.,EST,Estonia
VARSITA ASSOCIATES CORP.,EST,Estonia
NORCROSS ALLIANCE INC,LVA,Latvia
ONTRIS INVEST LTD.,EST,Estonia
GOFFRED SYSTEMS INC,LVA,Latvia
METISON INVESTMENTS LTD.,LVA,Latvia
KHENDO HOLDINGS LTD.,EST,Estonia
OCEAN SHIP SERVICES LTD.,LVA,Latvia
VIGILIA PLUS INC.,LVA,Latvia
PRIMERTA SERVICES INC.,LVA,Latvia
OPEN TECHNOLOGIES LTD.,LVA,Latvia
HACKTON INVESTMENTS LTD.,LVA,Latvia
BALTIC METALLURGICAL CORPORATION,LVA,Latvia
GORTON PROJECTS LTD.,LVA,Latvia
DINSBERRY FINANCE LTD.,LVA,Latvia
FLAIR ASSOCIATES S.A.,EST,Estonia
WYNWARD MARKETING INC.,EST,Estonia
RAYVILLE ESTATES INC.,EST,Estonia
FORSBY MANAGEMENT LTD.,LVA,Latvia
POLMARK LIMITED,LVA,Latvia
PALEOST MARKETING LTD.,LVA,Latvia
SPRINKLE TISS LIMITED,EST,Estonia
BESTPLAY SOFTWARE LTD.,LVA,Latvia
BTL GROUP LTD.,LVA,Latvia
Lincon Assets Limited,EST,Estonia
CHARSFIELD ENTERPRISES LTD.,LVA,Latvia
SOBIUS INTERNATIONAL INC.,LVA,Latvia
DENELA GROUP LTD.,LVA,Latvia
Leonia Capital Ltd,EST,Estonia
LBK SHIPPING LTD.,EST,Estonia
FAJITA PROMOTION LTD.,EST,Estonia
DIANISIM LTD.,LVA,Latvia
BANTON ESTATES LTD.,EST,Estonia
RUDENA ENTERPRISES LTD.,LVA,Latvia
WISTOR ALLIANCE LTD.,LVA,Latvia
FORTRESS UNIVERSAL LTD.,LVA,Latvia
GATEWAY COMMERCIAL LTD.,LVA,Latvia
OCEAN HIGHLIGHTS ASSETS LTD.,EST,Estonia
KELSEY MARKETING LTD.,LVA,Latvia
Bing Stott Enterprise Limited,EST,Estonia
MANAGEMENT RESEARCH LTD,EST,Estonia
DELENGER COMMERCIAL LTD.,EST,Estonia
RIOLAN GROUP LTD.,LVA,Latvia
AKROPOLIS TRADING GROUP LIMITED,EST,Estonia
ADF LTD.,EST,Estonia
ELMEDICO LTD.,LVA,Latvia
ORTENA ALLIANCE LTD.,LVA,Latvia
Turris Ltd.,EST,Estonia
MANACO EQUITIES LTD.,EST,Estonia
GILLIGAN CAPITAL LTD.,EST,Estonia
BASSDELL COMPANY LIMITED,EST,Estonia
KENWOOD CORPORATION ALLIANCE LTD.,LVA,Latvia
PROMTON INVESTMENTS LTD.,LVA,Latvia
MAGNUM PLUS LTD.,LVA,Latvia
MEREY ASSOCIATES LTD.,LVA,Latvia
DAROLA MARKETS LTD.,LVA,Latvia
BELVIA COMMERCIAL LTD.,LVA,Latvia
BELVION UNIVERSAL LTD.,LVA,Latvia
THX INVESTMENT GROUP LTD.,EST,Estonia
NORTHGLENN SERVICES LTD.,EST,Estonia
KEDDY ESTATE INTERNATIONAL LTD.,LVA,Latvia
MARIOL GROUP CO. LTD.,LVA,Latvia
VICTORIA TRADING GROUP LTD.,LVA,Latvia
ART LOGISTICS LTD.,LVA,Latvia
CROSTWICK PROJECTS LTD.,LVA,Latvia
CROSTECH INTERGROUP LTD.,LVA,Latvia
BIN JOHAR PETROLEUM CO. LTD.,EST,Estonia
MISTCRAFT INVESTMENT LIMITED,EST,Estonia
DELLAN INTERNATIONAL HOLDING LTD.,LVA,Latvia
ALEXOR TRADE LTD.,LVA,Latvia
SEASONS SUPPORT HOLDINGS LIMITED,EST,Estonia
INTERNATIONAL INTELLIGENCE S.A.,LVA,Latvia
NASTORA GROUP LIMITED,EST,Estonia
GRANDEN VENTURES HOLDINGS LTD.,LVA,Latvia
EUROCRABB INTERNATIONAL S.A.,EST,Estonia
NIMAX OVERSEAS HOLDINGS LTD.,LVA,Latvia
TILLANEY UNIVERSAL LTD.,LVA,Latvia
PROGTUNE ADVANTAGE LTD.,EST,Estonia
BELVERSTONE GROUP LTD.,LVA,Latvia
BELVETTE INTERNATIONAL LTD.,LVA,Latvia
COLLAMORE OVERSEAS TRADING LTD.,LVA,Latvia
STT PROMELECTRON SERVICE LTD.,LVA,Latvia
COPPARD INVEST LTD.,LVA,Latvia
CAMDEN CONSULT INC.,EST,Estonia
TILLBROOK INTERINVEST LTD.,LVA,Latvia
LIMFORT DEVELOPMENT LTD.,EST,Estonia
MSA GROUP LTD.,EST,Estonia
RODRALE INTERCORP LTD.,LVA,Latvia
ORNEGO AGENCY LTD.,LVA,Latvia
GRETLON COMMUNICATIONS LTD.,LVA,Latvia
LITORA PROJECTS LTD.,LVA,Latvia
MONDERO PLUS INC.,LVA,Latvia
GREMTON INVESTMENTS LTD,LVA,Latvia
ALEGRIA TRADE LTD.,LVA,Latvia
STANWOOD ALLIANCE INC.,LVA,Latvia
Marina Laslo Music International Limited,EST,Estonia
ENERGY HOLDINGS MANAGEMENT LTD,EST,Estonia
TELSCOMBE INVESTMENTS LIMITED,EST,Estonia
WAGNER SERVICES LIMITED,EST,Estonia
RENTORA COMMERCIAL LTD.,LVA,Latvia
KONRAT INVESTMENTS LTD.,LVA,Latvia
INTERCOMMERTZ GROUP LTD.,LVA,Latvia
LENSTAR PROPERTIES CORP.,LVA,Latvia
